From,To,Direction,Connection Type
Stephen Cole Kleene,Donald Knuth,directed,
Bjarne Stroustrup,C++,directed,
Linus Torvalds,Git,directed,
Linus Torvalds,Linux,directed,
Donald Knuth,TeX,directed,
Lee E. McMahon,sed,directed,
Stephen Cole Kleene,regex,directed,
Ken Thompson,Unix,directed,
Ken Thompson,B,directed,
Ken Thompson,C,directed,
Ken Thompson,UTF-8,directed,
Ken Thompson,Plan9,directed,
Ken Thompson,grep,directed,
Ken Thompson,Go,directed,
Ken Thompson,ed,directed,
Ken Thompson,Multics,directed,
Dennis Ritchie,B,directed,
Dennis Ritchie,C,directed,
Dennis Ritchie,Unix,directed,
Dennis Ritchie,Multics,directed,
Rob Pike,Plan9,directed,
Rob Pike,UTF-8,directed,
Rob Pike,Go,directed,
Leslie Lamport,Paxos,directed,
Leslie Lamport,LaTeX,directed,
Leslie Lamport,Lamport timestamp,directed,
Leslie Lamport,Byzantine fault tolerance,directed,
Edsger Dijkstra,Dijkstra's algorithm,directed,
Richard Stallman (rms),GNU,directed,
Richard Stallman (rms),GPL,directed,
Richard Stallman (rms),Emacs,directed,
Richard Stallman (rms),Free software movement,directed,
Tim Berners-Lee (TimBL/TBL),HTML,directed,
Tim Berners-Lee (TimBL/TBL),WWW,directed,
Bram Moolenaar,Vim,directed,
Douglas McIlroy,Unix Pipelines,directed,
Douglas McIlroy,echo,directed,
Douglas McIlroy,diff,directed,
Douglas McIlroy,sort,directed,
Douglas McIlroy,join,directed,
Douglas McIlroy,tr,directed,
Douglas McIlroy,Unix Manual,directed,
Douglas McIlroy,Macros,directed,
Vint Cerf,TCP/IP,directed,
Guido van Rossum,Python,directed,
Igor Sysoev,Nginx,directed,
Brian Kernighan,Unix,directed,
Brian Kernighan,AWK,directed,
James Gosling,Java,directed,
Alan Kay,OOP,directed,
Brendan Eich,JavaScript,directed,
Brendan Eich,Mozilla,directed,
Brendan Eich,Brave,directed,
Alan Turing,Turing machine,directed,
John von Neumann,von Neumann architecture,directed,
Claude Shannon,Information theory,directed,
John McCarthy,Lisp,directed,
Grace Hopper,COBOL,directed,
Tony Hoare,Quicksort,directed,
Tony Hoare,CSP,directed,
Niklaus Wirth,Pascal,directed,
Bill Joy,vi,directed,
Bill Joy,BSD,directed,
Theo de Raadt,OpenBSD,directed,
Theo de Raadt,OpenSSH,directed,
Fabrice Bellard,FFmpeg,directed,
Fabrice Bellard,QEMU,directed,
D. Richard Hipp,SQLite,directed,
Daniel Stenberg,curl,directed,
Larry Wall,Perl,directed,
Yukihiro Matsumoto,Ruby,directed,
Anders Hejlsberg,C#,directed,
Anders Hejlsberg,TypeScript,directed,
Graydon Hoare,Rust,directed,
Junio Hamano,Git,directed,
John Backus,Fortran,directed,
Richard Stallman (rms),GCC,directed,
Multics,Unix,directed,evolution
Unix,Plan9,directed,evolution
Unix,BSD,directed,evolution
Unix,Linux,directed,evolution
B,C,directed,evolution
C,C++,directed,evolution
C,Go,directed,evolution
C,Java,directed,evolution
vi,Vim,directed,evolution
Lisp,Emacs,directed,evolution
TeX,LaTeX,directed,evolution
